epoch,time,test-score,train-score,loss,q_value,epsilon
0,1007.798777404,0.0,-0.03660201149425287,0.0014642007630766725,50.12493749732971,0.1
1,1995.958159294,-0.029388528993521883,-0.034374549127110084,0.0014224061640547257,52.77015165081024,0.1
2,2984.8013848190003,0.006339144215530904,-0.03495446200367184,0.0015426518796364116,52.3050316227595,0.1
3,3975.5304587400005,0.0,-0.06310219695750881,0.001364527958543597,51.754568457984924,0.1
4,4954.3283897,-0.051696284329563816,-0.03746763006827113,0.001351845540479349,51.60513114922841,0.1
5,5936.13808198,-0.0016223231667748216,-0.07714914178566278,0.001529575531935379,50.94895049711863,0.1
6,6915.617871799,0.0,-0.04520574986989215,0.001259432385345084,50.99729123916626,0.1
7,7894.173734770001,0.0,-0.028766045696713986,0.0013378100088233787,53.1620861840566,0.1
8,8877.668419574999,-0.10602071265578375,-0.04647227516431841,0.0013769245585976482,54.271537273597716,0.1
9,9860.262037748998,-0.16817276765201408,-0.04253889674681754,0.0014403972036153795,50.13550479259491,0.1
